player_name,over,min_runs,max_runs,avg_runs
AS Rajpoot,17,0,4,1.75
AS Rajpoot,18,0,5,1.5
AS Rajpoot,19,0,7,2.5
AS Raut,4,0,0,0.0
AS Raut,5,7,7,7.0
AS Raut,6,1,2,1.5
AS Raut,7,0,2,1.0
AS Raut,8,0,0,0.0
AS Raut,9,3,3,3.0
AS Raut,10,6,6,6.0
AS Raut,11,4,4,4.0
AS Raut,12,2,2,2.0
AS Raut,13,1,3,1.5714285714285714
AS Raut,14,1,11,6.0
AS Raut,15,0,3,1.625
AS Raut,16,0,7,4.285714285714286
AS Raut,17,0,7,2.25
AS Raut,18,1,6,2.857142857142857
AS Raut,19,0,18,4.875
AS Roy,1,4,4,4.0
AS Roy,12,0,0,0.0
AS Roy,14,0,0,0.0
AS Roy,16,2,2,2.0
AS Roy,17,3,3,3.0
AS Roy,18,2,9,4.666666666666667
AS Roy,19,0,2,1.0
AS Yadav,11,1,1,1.0
AS Yadav,12,2,2,2.0
AS Yadav,13,1,1,1.0
AS Yadav,14,6,6,6.0
AS Yadav,16,1,1,1.0
AS Yadav,17,7,7,7.0
AS Yadav,18,0,11,3.8
AS Yadav,19,0,10,3.0
AT Carey,15,1,1,1.0
AT Carey,16,1,9,4.0
AT Carey,17,2,5,3.0
AT Carey,18,0,2,1.3333333333333333
AT Carey,19,1,5,3.0
AT Rayudu,0,0,7,2.0625
AT Rayudu,1,0,8,1.8709677419354838
AT Rayudu,2,0,13,2.55
AT Rayudu,3,0,17,3.4893617021276597
AT Rayudu,4,0,11,3.5
AT Rayudu,5,0,22,3.85
AT Rayudu,6,0,16,2.830769230769231
AT Rayudu,7,0,10,2.5694444444444446
AT Rayudu,8,0,17,3.3972602739726026
AT Rayudu,9,0,13,2.9740259740259742
AT Rayudu,10,0,13,3.5833333333333335
AT Rayudu,11,0,14,4.024390243902439
AT Rayudu,12,0,16,3.580246913580247
AT Rayudu,13,0,18,3.8974358974358974
AT Rayudu,14,0,14,3.9146341463414633
AT Rayudu,15,0,22,4.136986301369863
AT Rayudu,16,0,15,3.838709677419355
AT Rayudu,17,0,17,5.392857142857143
AT Rayudu,18,0,21,5.208333333333333
AT Rayudu,19,0,11,2.6363636363636362
AU Rashid,11,6,6,6.0
AU Rashid,12,7,7,7.0
AU Rashid,13,5,5,5.0
AU Rashid,18,4,4,4.0
AUK Pathan,0,14,14,14.0
AUK Pathan,1,0,0,0.0
AUK Pathan,6,7,7,7.0
AUK Pathan,13,4,4,4.0
AUK Pathan,17,0,0,0.0
AUK Pathan,18,12,12,12.0
